Unique Investment Identifier,Business Case ID,Investment Type,Infrastructure Management Category,Agency Code,Agency Name,Bureau Code,Bureau Name,Investment Title,Agency Strategic Objectives / Agency Priority Goals,ROI Description,Investment Shared Service,Planned Shared Service,Paperwork Reduction Act OMB Control Number(s),PM Name,PM Qualifications,Funding PY1 and Prior ($ M),Funding PY ($ M),Funding CY ($ M),Funding BY ($ M),Investment Start Year,Investment End Year,Explanation of Change to PY or CY Funding,Analysis Conclusion,Evaluation (by Agency CIO),CIO Evaluation Comments,Consecutive Months with Red CIO Eval,Date of Last Update to CIO Evaluation,Date of Last Change to CIO Evaluation,Number of changes to Baseline,Date of Last Baseline,Date of Last Change to Activities,Date of Last Update to Activities,Data Freshness,Date of Last Change to Performance Metrics,Date of Last Update to Performance Metric Actuals,Budget Year,Date Investment First Submitted,Date of Last Investment Detail Update,Investment Auto Submission Date
024-000006079,193,01 - Major IT,01 - Not Applicable,"	024",Department of Homeland Security,"	60",United States Coast Guard,USCG - Rescue 21,"024SO18227 - Not Available, 024SO20328 - Optimize Support to Missions Operations: Enhance mission operations by increasing coordination and cooperation with key homeland security partners; providing senior leadership and operators with situational awareness and actionable information; identifying research and development solutions for operational needs; maintaining property and assets; and conducting community engagement and outreach.","The R21 Return on Investment (ROI) was determined by a Cost Analysis dtd March 2005; the cost analysis demonstrated a ROI of 3.05 and a payback period of 13 years. In determining the ROI, the R21 Key Decision Point (KDP) 1 was completed in Jul 1995 and authorized entry into the programs Concept and Technology Demonstration phase under the authority of DOT. In Aug 1999, KDP2 authorized the program to proceed into the Capability Development and Demonstration phase. In Aug 2001, the Coast Guard awarded three R21 Phase I contracts to competing contractors to develop proposed system designs. The Phase I proposals were reviewed in late 2001 and the Phase II production contract RFP was issued in Feb 2002. Following a formal source selection process, the USCGs Source Selection Official (SSO) awarded the R21 Phase II production contract to General Dynamics C4 Systems in Sep 2002. In Jul 2005, DHS authorized the R21 program to proceed into the Production and Deployment phase and full rate production subsequently commenced in Sep 2005.   Internal Benefits: R21 is used to tailor CG response (including coordinating with local first responders and federal coordinators), significantly reducing response time to mariners in distress. The R21 system enhances the CGs ability to detect & respond to distress calls in the coastal zone, which directly benefits the U.S. publics marine safety & saves lives. Benefits also include system disaster recovery capabilities that have supported coordination in numerous federals regional response and remediation efforts by providing a critical communication backbone in the disaster regions. For example, the R21 system provided a communication system that supported efforts to re-open ports in NY and NJ after hurricane Sandy.   External Benefits of the R21 system: Provides capabilities to help ensure the successful outcome of Search and Rescue (SAR) missions. By May 2017, R21 has been used in more than 94,730 SAR cases. Advanced DF which moreaccurately identifies the location of callers with lines of bearing to the VHF radio transmission source which reduces response time & search area; Continuous, enhanced VHF-FM marine radio coverage out to 20 nautical miles from shore; improved ability to identify suspected hoax calls; Increases the number of voice channels; Digital voice recording w/ immediate playback; Timely flow of info between CG & other stakeholders. The R21 investment is slated to reach the breakeven point in 2018.",yes,yes,,Jeffrey Taboada,1 - FAC-P/PM(DAWIA-3)- Senior,1678.222,81.368,89.509,77.722,1997,2029,There are no fundamental or substantive changes.,1 - continue as is,4,"Jun21 the program has initiated Phase 1 of the Radio Frequency Communications Cloud
Suitability. Phase 1 of this project will test the backend server components
with cloud-based capabilities and then perform a system demonstration. The R21-Alaska Microwave project upgrade continues to be a moderate
risk. Three installs have been completed. Thirteen microwave installations will
be completed by the end of Q4 FY2021, and the remaining two will be completed
in FY2022",0,8/2/2021 22:25,8/2/2021 22:25,7,9/29/2020 19:12,1/19/2021 16:49,1/19/2021 16:49,Update Required,9/29/2020 19:12,7/30/2021 18:03,2022,6/30/2009 0:00,7/30/2021 18:03,6/30/2009 0:00
024-000007333,168,01 - Major IT,01 - Not Applicable,"	024",Department of Homeland Security,"	70",Federal Emergency Management Agency,FEMA - Logistics Supply Chain Management System (LSCMS),"024SO18227 - Not Available, 024SO20321 - Build a National Culture of Preparedness: Prepare the Nation to be ready for the worst disasters and enhance public safety and property protection.","The ROI formula has too many unpredictable components to be calculated precisely, but an ROI qualitative analysis is useful: ROI=(((Original Baseline O&M - New Total O&M) + Other Benefits to Society)/Acquisition Cost Only)-1
   
The LSCMS ROI calculation considers the benefit to the public of using LSCMS compared to alternative uses of the funds. However, public benefits directly attributable to LSCMS are dependent on disasters making actual benefits unpredictable. An expected yearly benefit over the cost of not implementing LSCMS is estimated at $5M, including savings, cost avoidance, and productivity improvements. This does not consider the benefit of implementing LSCMS. An average annual public benefit of $20M, based on 4 disasters per year and $5M per disaster for benefits to the states = $20M, returning an annual benefit to recover the initial investment by 2028 (or earlier if public benefits accrue faster.)
   
Although a quantified ROI timeframe is not feasible, the ROI is negative when considering only system benefits which are always less than O&M costs, and significantly positive when considering the probability of annually distributing more than $20M in benefits to society.
 Previous O&M = averaged $29.85M
 New O&M = $24.88
the increasing resource costs, O&M costs are not anticipated to decrease.
 System cost Benefits = $5M
 Public Benefits > $20M
  
ROI = (((29.854M-24.883M)+385.550M)/102.017)-1 = 283%
System cost benefits include: Savings from developmental alternatives, resource optimization and hardware and asset inventory; cost avoidances from reduction in legacy O&M costs, better asset management and COOP; and productivity improvements from data visibility, automation, and partner integration.",no,no,,Kevin Langley,1 - FAC-P/PM(DAWIA-3)- Senior,401.66,29.202,26.804,27.827,2006,2028,The lifetime of the investment has been extended through FY2030.  ADE-3 and FOC was achieved in 2019.,1 - continue as is,4,"Jun21 the LSCMS program is transitioning from
the DHS OneNet Trusted Internet Connection to AWS Cloud Access Point. Phase 1
of the transition will be completed in July 2021. This will allow the program
to use AWS CAP for internal traffic only. In Jun21, the program integrated with United Parcel
Service and FedEx for the shipment of parcel packages. This integration provides for real-time tracking
data for packages.",0,8/2/2021 22:25,8/2/2021 22:25,9,9/29/2020 19:12,5/18/2021 15:38,5/18/2021 15:38,Update Required,9/29/2020 19:12,7/30/2021 18:03,2022,6/30/2009 0:00,7/30/2021 18:03,6/30/2009 0:00
024-000005605,172,01 - Major IT,01 - Not Applicable,"	024",Department of Homeland Security,"	45",Transportation Security Administration,TSA - Secure Flight,"024SO18227 - Not Available, 024SO20318 - Safeguard the U.S. Transportation System: Safeguard the U.S. transportation system by protecting the traveling public and critical assets, closing identified security gaps, and promoting security best practices at home and abroad.","The SF ROI is measured based on cost avoidance dollars that relate to preventing an act of terrorism from occurring. Through FY20, it is estimated that $450B in cost avoidance dollars are attributable to SF. The SF Investment leverages the use of its annual LCCE to estimate costs and identify cost drivers on a continuing basis. This approach supports the annual budget submissions from which the SF PM, in conjunction with the TSA offices for CFO, APM, ESVP and I&A, annually reviews and makes necessary budget allocations in support of program goals and objectives. The2019 SF LCCE provides an affordability analysis that illustrates that the approved budget meets both current and future program requirements.SF benefits national security by identifying high-and low-risk passengers in order to mitigate known and unknown threats to aviation security. SF plans to include watch lists and rules-based procedures to expand TSA PreCheck, and increase the reliability of using compliant SF passenger data to further automate operational processes that support identification of known or suspected terrorists, measureable through Operational Performance Measure (OPM) 183025. SF expected outcomes are to successfully identify individuals on the Selectee List for enhanced screening, minimize misidentification of individuals as potential threats to aviation security, incorporate additional RBS capabilities to streamline processes, and protect passengers personal information from unauthorized use and disclosure. SF integrates DHS redress results into the watch list matching process to help prevent future delays of misidentified passengers, and measureable through OPM 171975. SF also enables the TSA Pre-Check program, part of TSAs effort to apply RBS procedures at airport security checkpoints primarily benefiting the traveling public and maintain system availability measurable through OPM 183026. SFs primary stakeholder is the traveling public, other non-governmental stakeholders include aircraft operators. SF provides relief from the watch list matching burden, timely & accurate matches and resolutions, and government response coordination. SW upgrades to improve early insight into potential matches to the watch list with the goal to improve the interactive capability for recurring or manual watch list matching on a 24/7 basis through the SF Operations. SW and HW upgrades to improve the approach for implementing new risk-based security capabilities described in Project 150 and future Project 150 FY22. streamline the processes for accommodating additional aviation populations, and protect passengers personal information from unauthorized use and disclosure. Other Government stakeholders include TSA HQ, other DHS agencies, the FAA, the Dept. of Justice including the FBIs Terrorist Screening Center, and other law enforcement agencies. The SF mission is to mitigate known and unknown threats to aviation security by identifying higher-and lower-risk passengers, designating them for appropriate screening based on their risk level, and/or prohibiting them from boarding a covered flight, as appropriate. SF also has established a watch-list matching infrastructure and internal procedures and policies that benefits the travelling public maintaining the privacy of passenger information.",yes,no,,Julie Labra,1 - FAC-P/PM(DAWIA-3)- Senior,1331.1,111.535,111.897,122.656,2001,2025,"There are no significant changes to the budget for PY and CY, the variance is less than 5%.",1 - continue as is,3,"Apr21, SF identified Secondary ID Procedures associated with the Real ID Act as a low risk to program operations. Constantly changing requirements and operational environments for the SF program is a moderate risk. SF has identified technology refresh funding as a low risk. If the program does not receive the proper funding to perform technology refreshes, system availability can impact and delay traveler screening results. The program has submitted four 4 and 10 moderate POAMs for closure.",0,7/6/2021 22:38,7/6/2021 22:38,5,9/17/2019 19:02,7/30/2021 18:03,7/30/2021 18:03,Update Required,9/29/2020 19:12,7/30/2021 18:03,2022,6/30/2009 0:00,7/30/2021 18:03,6/30/2009 0:00
024-000003015,319,01 - Major IT,01 - Not Applicable,"	024",Department of Homeland Security,"	30",Citizenship and Immigration Services,USCIS - Transformation,"024APG18014 - Enhance Southern Border Security, 024APG200141 - Enhance Border Security","Transformations estimated cost avoidances fall into five categories:  avoidances from reduced mailings (FY12-33), decommissioning of legacy systems (FY18-20), reduced data entry (FY12-33), reduced call center calls (FY12-33) and reduced file movement and storage (FY12-33).
Therefore, the Return on Investment (ROI) is calculated by determining the net benefit, which in this case is the total cumulative cost avoidances for reduced mailings, systems decommissioning, reduced data entry, call center calls, and file movement and storage over the lifecycle of the system (FY12-33), dividing the net benefit by the total initial capital investment, subtracting 1, and converting the remaining figure to a percentage.
A negative 42% ROI indicates that this investment will recover some of its initial purchase and implementation of new capital assets to create a new capability.  However, this ROI calculation is in the early phases of this investments development and does not fully quantify the additional internal and external benefits that have not yet been assessed.
The benefits for the system included Transformation Program Objectives:
 
- Increase security by accurately identifying individuals at each interaction with USCIS.  
- Increase security by timely sharing of data with partner agencies.
- Improve immigration benefits system integrity by standardizing processes and systems throughout the agency
- Improve immigration system integrity by cultivating a culture that respects and protects privacy.
- Improve ability to detect and investigate fraudulent activity by improving the quality and availability of data.
- Minimize the burden to customers interacting with the agency.
- Inform customers in a manner most likely to result in understanding and appropriate action.
- Provide benefits, quickly, consistently, and accurately to those who are entitled
- Deliver an open and transparent work environment.
- Enable managers to match work and resources on a needs basis.
- Provide a work environment that promotes success.
The ROI calculation data came from using the August 2012 AA Attachments 1 and 2.",yes,yes,1615-0122,David A. Blair,1 - FAC-P/PM(DAWIA-3)- Senior,1947.881,128.588,89.278,88.11,2006,2034,,1 - continue as is,3,"Jun21 reduced
funding, which has triggered cuts to contract support, and a reduction in
software procurements and licenses critical to the program. Currently, the
program cannot accommodate additional requests outside of its congressional
mandate. The program
introduced Virtual Interview technology that allow field offices to conduct
remote/socially distanced interviews.
The virtual environment minimized the need for face-to face screening
process.",0,8/2/2021 22:25,8/2/2021 22:25,14,9/29/2020 19:12,4/30/2020 13:55,4/30/2020 13:55,Update Required,9/29/2020 19:12,7/30/2021 18:03,2022,6/30/2009 0:00,7/30/2021 18:03,6/30/2009 0:00
024-000009102,134,01 - Major IT,01 - Not Applicable,"	024",Department of Homeland Security,"	10",Departmental Management and Operations,DHS - CIO - Homeland Security Information Network (HSIN),"024SO18227 - Not Available, 024SO20322 - Respond During Incidents: Respond quickly and decisively during catastrophic incidents to reduce their impact.","HSIN is used extensively to coordinate national security events, incident response, law enforcement activities and other homeland security operations. HSINs qualitative ROI benefits are reflected through by providing vital information sharing support to the homeland security enterprise and stakeholders. In addition HSIN usage increased significantly with the expanded need for information sharing due to COVID-19 virus. User numbers have increased by over 25% during this time. Although usage statistics continues to move higher, Program O&M costs have been reduced year after year. HSINs program costs for the past year were about $19.792 million. HSIN completed the cloud migration project in 2017 and closed out more expensive infrastructure services in DC-2. This resulted in $1.2 million in realized cost avoidance for the past two year (July 2018  June 2020) and yielded an actual Return on Investment (ROI) of 1.06 in cost savings for this year.",yes,no,,James Lanoue,1 - FAC-P/PM(DAWIA-3)- Senior,112.264,19.792,28.142,28.142,2004,2028,"Changes to meet emerging security requirements, interoperability and hosting services and the planned upgrade from SharePoint-2010 to SharePoint-2016 continue to impact the funding levels and funding categories. Additionally O&M costs to support a larger number of system users effects funding levels.",1 - continue as is,3,"Apr21, tailored configurations of HSIN applications has been increased to a high risk. The HSIN Modernization Phase 3 project has experienced technical and schedule issues while migrating complex sites to SharePoint16. The program needs to fill the policy manager and knowledge manager positions. The HSIN program continues planning activities for the HSIN Release 4 Technical Modernization effort. The program plans to develop a new HSIN cloud system and decommission the current HSIN system.",0,7/6/2021 22:38,7/6/2021 22:38,12,3/29/2021 13:54,4/30/2021 17:31,4/30/2021 17:31,Update Required,1/19/2021 16:50,7/30/2021 19:14,2022,6/30/2009 0:00,7/30/2021 19:14,6/30/2009 0:00
024-000003029,327,01 - Major IT,01 - Not Applicable,"	024",Department of Homeland Security,"	30",Citizenship and Immigration Services,USCIS - Verification Modernization (VER),"024SO18227 - Not Available, 024SO20312 - Administer Immigration benefits to Advance the Security and Prosperity of the Nation: Facilitate lawful immigration while protecting American workers, including ensuring that no one exploits the U.S. immigration system or its benefits.","This investment in modernizing VER, an existing capability, will recover a majority of the acquisition costs both by significantly reducing operations and maintenance costs over the system lifecycle and by enabling the system to efficiently address the anticipated greater than 175% increase in verification workload expected over the planning horizon. VER MOD will achieve these objectives by: Optimizing the effectiveness of VER operational staff using VIS and associated systems for verifications; by minimizing the need for additional staff to address anticipated verification workload growth; and by increasing system capacity in order to address expected verification workload growth. 
- Expand System Capacity: System capacity will be expanded to address the over 80 million queries per year and 200 thousand MOUs expected by 2027.
- Streamline and Reengineer Business Processes: Streamlined and reengineered verification business processes will increase the accuracy and efficiency of manual verification processes.
- Improve Stability and Reliability of Verification Services: Employers and benefits agencies will gain a more stable system. Increased uptime will allow employers more consistent access to the systems.",yes,no,1615-0101,Curtis B. Dawson,1 - FAC-P/PM(DAWIA-3)- Senior,1065.23,157.263,155.815,152.011,2008,2027,Differences in the President's Budget and the last approved LCCE reflect cost savings due to efficiencies obtained by proper program management.,1 - continue as is,3,"Jun21 the COVID-19 pandemic resulted in a
reduction in fee collection funding. The VER MOD program experience funding
challenges, such as the inability to complete the Cyber Resilience Operational
Testing assessment. The program is regularly auditing electronically verified
cases to ensure that the data from the sources systems is coming in per the
specification and E-Verify and SAVE are responding accurately to improve
overall accuracy of electronic matching and reduce manual workload.",0,8/2/2021 22:25,8/2/2021 22:25,21,7/30/2021 18:05,11/27/2019 17:49,3/29/2021 13:54,Update Required,4/30/2021 17:30,7/30/2021 18:05,2022,6/30/2009 0:00,7/30/2021 18:05,6/30/2009 0:00
024-000005628,170,01 - Major IT,01 - Not Applicable,"	024",Department of Homeland Security,"	45",Transportation Security Administration,TSA - Transportation Worker Identification Credential (TWIC),"024SO18227 - Not Available, 024SO20318 - Safeguard the U.S. Transportation System: Safeguard the U.S. transportation system by protecting the traveling public and critical assets, closing identified security gaps, and promoting security best practices at home and abroad.","The benefit of the TWIC program is that it improves security by a common nation-wide secure biometric credential that is used by operators of regulated maritime entities to make access control decisions for secure areas. The TWIC program established standards and processes for enrollment, vetting, adjudication, redress, card issuance and activation. In addition, TSA continuously monitors all TWIC holders and revokes credentials (via card cancelation) when the individual is no longer eligible for TWIC. The TWIC program currently reports 8 key performance metrics: Fraudulent Document Review Rate; Invalid Enrollment Rate; Average Adjudication Total Accuracy Rate; Average Wait Time; Operational Availability; TWIC Personalization Failure Rate; Program Financial Commitment Variance; and Program Viability. The TWIC program frequently reviews metrics and in 2020, the TWIC program will continue to evaluate existing and potential new performance measures. ROI for the TWIC program is calculated as (Cash In  Cash Out)/Cash Out. Cash In is derived from two sources, appropriated funding provided early in the program and fee revenue collected from transportation workers once the program reached operational capability. As of September 30, 2019, Cash In (Appropriations) $155.875M + Cash In (Fees) $1097.853M = $1253.728M; Cash Out (Expenses) = $651.6161M; therefore, ROI = ($1253.728M-$651.616M)/$651.616M = 92.403%.The2019 TWIC LCCE provides an affordability analysis that illustrates that the approved budget meets both current and future program requirements. The 2020 TWIC LCCE is planned to be updated and approved by September 2020. The Maritime Transportation Security Act (MTSA) of 2002 required DHS to issue regulations to conduct a terrorism, criminal history, and immigration security assessment and issue a biometric card credential to eligible applicants prior to being granted unescorted access to secure areas of regulated maritime facilities or vessels. The TWIC programis jointly managed by TSA and the U.S. Coast Guard (USCG). The TWIC program provides a secure credential and biometric security card for eligible transportation workers who require unescorted access to areas of MTSA-regulated facilities and vessels.",yes,no,,Stephanie W. Hamilton,1 - FAC-P/PM(DAWIA-3)- Senior,675.838,52.08,47.113,46.064,2003,2024,"This program is funded from user fees. Variances between budgetary resources and outlays are a result of the variable nature of the program. Since this is a fee based program, actual fees collected do not always correspond directly with projected fee collections,.therefore fiscal year projections can fluctuate significantly from year to year.",1 - continue as is,4,"May21, in Mar21, TSA implemented FBI Rap Back services for TWIC. The automated capability will allow adjudicators to access real time criminal history information from the FBI. In Apr21, approximately 31k TWIC card holders were screened through the FBI Rap Back. TSA plans to screen 30k to 40k additional TWIC card holders each month. TSA intends to implement online renewals for TWIC card holders by the end of FY22 so that card holders can re-enroll via online every five years.",0,7/12/2021 21:29,7/12/2021 21:29,14,12/16/2020 14:47,5/18/2021 15:38,7/6/2021 16:19,Update Required,9/29/2020 19:13,7/30/2021 18:03,2022,6/30/2009 0:00,7/30/2021 18:03,6/30/2009 0:00
024-000001226,155,01 - Major IT,01 - Not Applicable,"	024",Department of Homeland Security,"	00",Department of Homeland Security,DHS - CHCO - HR-IT,"024SO18227 - Not Available, 024SO20327 - Develop and Maintain a High Performing Workforce: Maximize mission success by hiring a skilled, diverse, and inclusive workforce, retaining world-class personnel, and empowering frontline operators and enabling personnel to do their jobs, enforce the law, and protect the Homeland.","The DHS-OCHCO-HRIT Portfolio will automate and integrate business processes across all functions of the DHS Human Capital Business Reference Model using authoritative data in a secure manner to provide an exceptional user experience at an affordable price. The ROI is acquiring HRIT systems and or solutions that support changing HR policies and practices that provide flexibilities and advantages to improve DHS's national security mission, ability to innovate and transform our HR programs to meet mission needs and garner trust in our workforce by providing effective HR services. Each project in the Portfolio follows the appropriate DHS System Engineer Life Cycle (SELC) and the acquisition life cycle with awareness to historical data/lessons learned. Both qualitative and quantitative methods will be used to analyze ROI including primary and secondary costs beneficial internally and externally. OCHCO, HCBS leadership will require potential service providers to provide demonstrations during the AA studies to support assessment of the potential products against the requirements and evaluation criteria. Potential service providers will inform OCHCO, HCBS about the amount of configuration and/or customization that might be needed for the product to optimally meet expectations. The Integrated Project Teams (IPT) will participate with service providers for analysis of how potential products meet the requirements and evaluation criteria. These evaluations will be used to narrow the product/service selection for pilots and/or identify product/service acquisition recommendations to the HRIT governance boards. Additional ROI's include contract consolidation for IT capabilities along with benefits from the USA Staffing contract which consolidated 8 DHS Interagency Agreements with OPM. USA Staffing consolidation nets a 10 percent discount for the Department with an annual savings of $293K and yields $1.7M over 5 years. The Workers Compensation-Medical Case Management Services (WC-MCMS) a result of TSA need and HRIT portfolio review showed a 9.6% average increase in workers compensation costs annually. The WC-MCMS will deliver on the Presidential POWER initiative by returning employees back to work sooner and reducing workers compensation costs. Each Component pays for services required and projected cost savings is approximately $112M over 5 years. Various other Department-wide HRIT O&M projects (USAJOBS, NFC Payroll & Service Reporting, EHRI and HRLOB) have significant return on investment that map to the investments planned outcomes.",yes,yes,,Neil Singh,1 - FAC-P/PM(DAWIA-3)- Senior,178.518,24.474,15.535,15.693,2003,2032,No significant changes for the PY 2020 and CY 2021 from the President's Budget.,1 - continue as is,3,"Apr21, the program to recognize the risk of a shortfall in Operating & Support funds to cover the cost of operations in future years. The program anticipates a delay to the SIO 3.2.3 schedule. This BPA was expecting to be awarded in May21. The HR-IT infrastructure continues to not fully meet cybersecurity requirements. To address the deficiency, the program continues to work with the Office of the CISO to close open Plans of Action and Milestones and to leverage existing security controls.",0,7/6/2021 22:38,7/6/2021 22:38,10,9/29/2020 19:13,2/17/2021 19:40,5/18/2021 15:40,Update Required,3/29/2021 13:54,7/30/2021 18:03,2022,6/30/2009 0:00,7/30/2021 18:03,6/30/2009 0:00
024-000006005,195,01 - Major IT,01 - Not Applicable,"	024",Department of Homeland Security,"	60",United States Coast Guard,USCG - Nationwide Automatic Identification System (NAIS),"024APG18014 - Enhance Southern Border Security, 024APG200141 - Enhance Border Security","NAIS improves maritime domain awareness and offers improvements in collision avoidance, maritime safety, environmental protection and national security through the detection, classification and tracking of vessels whether they are in national water or still thousands of miles off shore.  
The ROI of 7.94, as calculated in the NAIS Alternatives Analysis of Dec 29, 2006, was calculated by determining the sum of the present value of all benefits and dividing it by the sum of the present value of all costs of each capability.  The benefits of security risk reduction (such as detection of large commercial vessel introduces WMD into US port and fishing vessel has a crew member onboard suspected of being a terrorist) are included in the ROI calculation.  The benefits of operational performance (such as improved Search and Rescue detection and response and collision detection and enforcement) have not been included because the confidence in those calculations was low; however if they were to be included, the ROI would be even higher.  The benefits were calculated for the following capabilities provided by NAIS: coastal receive, coastal transmit, long range receive, advanced data capability, and inland waters receive and transmit.  For each capability a variety of scenarios were evaluated using probabilities of occurrence and consequence costs to demonstrate the improvement in security risk by implementing NAIS.  
The present value of all costs of each capability was calculated using the LCCE produced as part of the NAIS Alternatives Analysis document.  The total benefit was calculated as $5,704,345,592; the total LCC was calculated as $718,062,000; the ROI was calculated as 7.94.  
While 7.94 is the ROI for the whole NAIS system, each Increment offers improvements in each capability to differing degrees.  Increment 1 primarily benefits coastal receive.  After recapitalization of Increment 1 with Increment 2, the return on investment is significant improvement of marine safety and security by increasing receive coverage from 24nm to 50 nm, the addition of transmit capability out to 24 nm, and advanced data capability.  Increment 3 primarily benefits long range receive.",yes,no,,Mr. Gregory Woods,1 - FAC-P/PM(DAWIA-3)- Senior,385.098,10.59,10.69,9.131,2003,2037,FY2016 Cost estimates have been included in the current CIP; no other changes on previously reported fiscal years have been made.,2 - initiate remediation action,3,"Apr21, the NAIS program has identified the BSR project as a high risk to the program. Due to a major USCG reorganization in Oct20, the BSR project was put on hold and now has been restarted as of Jan21. In Q4 FY21, the program will be holding its first review to discuss the process, steps and schedule of the BSR project. The Marine Exchange Alaska contract renewal is identified as a moderate risk. The program has submitted a draft OA to USCG leadership for approval.",0,7/6/2021 22:38,7/6/2021 22:38,17,4/30/2021 17:31,7/30/2021 18:03,7/30/2021 18:03,Update Required,9/29/2020 19:13,7/30/2021 18:03,2022,6/30/2009 0:00,7/30/2021 18:03,6/30/2009 0:00
024-000006104,201,01 - Major IT,01 - Not Applicable,"	024",Department of Homeland Security,"	60",United States Coast Guard,USCG - Core Accounting System (CAS),"024SO18227 - Not Available, 024SO20326 - Strengthen Departmental Governance and Management: Enhance organizational management by aligning processes that translate leadership vision into action through strategic planning, operational capabilities and requirements, resourcing, acquisition, performance evaluation, and administrative functions.","Return on Investment: This legacy system has been deployed for over seventeen years, supporting the financial and procurement transactions for three DHS components. By this fact alone, DHS, CG and TSA leadership agree that CAS provides positive ROI, but the ROI has diminished over the years due to obsolescence and security risks. Calculating the current ROI on this legacy system would require significant time and resources.  For a system that is planned for disposition, the time and resources required to calculate the current ROI have been reallocated by leadership for continued sustainment of the system. It should be noted that the CAS Suite is planned for disposal after all data is either converted and migrated to FMSII or transferred into the planned FMPDR after the USCG and TSA successfully go live on FMSII. 
Benefits Internal (Government): A benefit of the CAS suite is that the system supports  accounting, asset management, and procurement system for the U.S. Coast Guard and the Transportation Security Agency. All financial transactions are consolidated in the CAS suite so that information can be reported to the Department of Homeland Security in a timely manner. The CAS suite records and tracks accounting and financial activities, ensuring that legislative, Government Accounting Office, Treasury Department, Office of Management and Budget, and Department of Homeland Security requirements are captured. 
  
Benefits External (General Public):  The external benefits stems on continued service to the general public regarding support from the U.S. Coast Guard and the Transportation Security Agency. These Department of Homeland Security components support the nation by sustaining a comprehensive national strategy to secure the United States from terrorist threats or attacks, as well as emergency response during national catastrophe.  These components support the executive branch's efforts of comprehensive homeland security.",yes,no,,Lynnae J. Tyler CG-6813,1 - FAC-P/PM(DAWIA-3)- Senior,578.683,10.224,10.261,8.991,1998,2021,There are no fundamental or substantive changes.,1 - continue as is,4,"Apr21, in Oct21, the USCG will be transitioning financial services operations to the FMSII. Once the transition is completed, the CAS program will operate in a read-only mode for an additional 6 months. If the transition of USCG to FMSII is delayed, additional funding will be needed to sustain CAS operations. In Jun21, the program will complete Mock 3 testing for data migration. At this time, the program has identified that there are no major issues that will delay migration.",0,7/6/2021 22:38,7/6/2021 22:38,8,9/29/2020 19:13,12/16/2020 14:48,1/19/2021 16:49,Update Required,9/29/2020 19:13,7/30/2021 18:03,2022,6/30/2009 0:00,7/30/2021 18:03,6/30/2009 0:00
